[2024-12-31 11:51:26,192][dinov2][INFO] - using MLP layer as FFN
[2024-12-31 11:52:55,473][dinov2][INFO] - using MLP layer as FFN
[2025-01-01 12:48:33,943][dinov2][INFO] - using MLP layer as FFN
[2025-01-01 13:43:17,314][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:17,796][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:18,282][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:18,762][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:19,245][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:19,727][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:20,213][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:20,692][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:21,172][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:21,652][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:22,132][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:22,613][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:23,092][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:23,571][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:24,049][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:24,529][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:25,009][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:25,487][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:25,967][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:26,446][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:26,927][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:27,407][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:27,890][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:28,372][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:28,852][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:29,333][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:29,817][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:30,301][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:30,786][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:31,270][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:31,752][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:32,235][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:32,717][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:33,198][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:33,681][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:34,164][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:34,645][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:35,126][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:35,608][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 13:43:36,092][eval.evaluation][WARNING] - NaN values detected in predictions
