[2025-01-01 14:27:20,673][dinov2][INFO] - using MLP layer as FFN
[2025-01-01 15:02:51,545][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:52,025][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:52,504][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:52,983][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:53,465][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:53,948][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:54,444][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:54,936][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:55,417][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:55,899][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:56,383][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:56,865][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:57,349][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:57,831][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:58,314][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:58,799][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:59,280][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:02:59,762][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:00,243][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:00,726][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:01,209][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:01,690][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:02,170][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:02,649][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:03,129][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:03,608][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:04,087][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:04,565][eval.evaluation][WARNING] - NaN values detected in predictions
[2025-01-01 15:03:05,043][eval.evaluation][WARNING] - NaN values detected in predictions
